pin	拼	121431132	fsrp
la	拉	12141431	fstl
bei	被	4523453254	pkcb
hua	画	12512152	fnbh
nin	您	32352344544	rqon
ling	凌	4112134354	yfcl
feng	风	3534	qwf
sha	沙	4412343	ofis
kang	康	41351124134	yqwk
yi	以	5434	cwy
cha	查	123425111	fwgc
ji	及	354	qyj
min	忞	41344544	ywom
ci	辞	3122514143112	tjfc
bi	薜	1225132514143112	fmfb
xue	薛	1223251514143112	fkfx
guang	光	243135	ltqg
xie	写	45151	panx
jing	镜	3111541431251135	tgqj
mo	魔	41312341234325113554	ytcm
cao	草	122251112	fjfc
yu	语	451251251	pfny
zhao	招	12153251	fanz
ce	测	441253422	ofjc
wu	戊	13534	dvww
ping	平	14312	stfp
deng	邓	5452	cbd
hao	好	531521	vahh
shui	水	2534	mws
ni	你	3235234	rqwn
ma	马	551	xgm
hua	化	3235	rqh
shou	手	3112	tfs
mi	米	431234	ifwm
yun	晕	2511451512	mgfy
dao	祷	45241113124	plld
fu	弗	51532	nvrf
han	兯	4352	ibh
cheng	成	135534	dxwc
fo	坲	12151532	farf
bu	卟	25124	mflb
li	里	2511211	mggl
wang	网	253434	mwww
sheng	声	1215213	fads
an	安	445531	oxta
shu	输	1521341251122	ahjs
xun	询	45352511	pqgx
nian	年	311212	tffn
xing	形	1132333	grex
da	大	134	dyd
li	历	1353	dvl
bei	北	21135	hdqb
yong	勇	542511253	cmvy
han	汉	44154	oach
wu	乌	3551	qnw
zao	枣	12523444	fboz
ci	词	4551251	pnnc
lv	旅	4153313534	yvwl
re	热	1213544444	fdor
shu	书	5524	xls
kao	焅	43343121251	iwnk
xi	鎴	341124313251114544	wgox
qi	鐑	34112431554444121251	wgnq
qian	骞	4451122134551	onnq
hui	滙	4411324111215	ogah
hui	匯	1441324111215	syah
gao	郜	312125152	thbg
hao	豪	41251451353334	ymwh
tan	榃	1234123425121	fwht
xiang	庠	413431112	ywfx
chou	瞅	25111312344334	mgwc
fan	贩	25343354	mwcf
shao	捎	1212432511	ffgs
shao	绍	55153251	xans
wei	微	3322521353134	ejww
gui	规	11342535	gwqg
rang	嚷	25141251251112213534	mswr
dui	对	54124	cfld
gui	桧	1234341154	fwcg
huan	环	11211324	ghlh
wang	王	1121	ghw
zhou	籀	3143141213545325121	tihz
shuo	槊	43152335111234	iaws
zhuo	斫	132513312	dmfz
yao	繇	34433112523554234	wiwy
shen	什	3212	rfs
